text,id
закончиться полёт первый ласточка усталый прийти домой увидеть окно слово яркий лампочка написать ты бояться ты мочь расстояние невесомость хотеть упасть неволить стать хотеть лететь лететь тысяча обрывать провод кричать уходить навсегда непонятно доживать утро салют вера быть ты быть далёкий сбежать близкий подойти прежде навек поменять номер салют вера сбываться сниться ночь пятница отзываться пароль ошибаться частый казаться посланница неведомый мир мочь расстояние невесомость хотеть упасть неволить стать хотеть лететь лететь тысяча обрывать провод кричать уходить навсегда непонятно доживать утро салют вера быть ты быть далёкий сбежать близкий подойти прежде навек поменять номер салют вера тысяча обрывать провод кричать уходить навсегда непонятно доживать утро салют вера быть ты быть далёкий сбежать близкий подойти прежде навек поменять номер салют вера ,11
ты посвящать песня свой открывать хотеть брать надежда ждать трониться лёд сердце любовь жить знать любовь жестокий сердце такй одинокий знать знать равно ты желать счастие мы незачем встречаться сказать сказать никто встречать прекрасный душа замирать красота глаз увидеть ответ застылый душа холодно знать любовь жестокий сердце такой одинокий знать знать равно ты желать счастие мы незачем встречаться сказать сказать знать любовь жестокий сердце такой одинокий знать знать равно ты желать счастие мы незачем встречаться сказать сказать знать знать равно ты желать счастие мы незачем встречаться сказать сказать сказать ,12
мало кто любить второй надоесть третий позабыть четвёртый исчезнуть вторник первый помнить пятый рука тая снег уносить тёплый река поднебесье простить простить опятьпятьпятьпятьпятить намаяться ты попытка номер пять простить простить напрасно видимо страдать терять независимость подруга просить слёзно алёна спасаться пока поздно держаться далёкий печально сказать подруга маша пятый рука тая снег уносить тёплый река поднебесье простить простить опятьпятьпятьпятьпятить намаяться ты попытка номер пять простить простить напрасно видимо страдать терять независимость простить простить опятьпятьпятьпятьпятить намаяться ты попытка номер пять простить простить напрасно видимо страдать терять независимость ,13
попрощаться небо попрощаться мечта попрощаться солнце попрощаться ты умолять вернуться любовь лишь один желанный солнышко мой долгожданный нужный весна нарядный ненаглядный лишь один желанный солнышко мой долгожданный нужный весна нарядный ненаглядный шепнуть небо простить мечта кричать никуда отпустить подсказать убить любовь оставить вновь лишь один желанный солнышко мой долгожданный нужный весна нарядный ненаглядный лишь один желанный солнышко мой долгожданный нужный весна нарядный ненаглядный лишь один желанный солнышко мой долгожданный нужный весна нарядный ненаглядный лишь один желанный солнышко мой долгожданный нужный весна нарядный ненаглядный ,14
can you feel the smooth the groove the bbbbeats can you feel the smooth the groove the bbbbeats can you feel the smooth the groove the bbbbeats айяйять девчонка взять такой ножка айяйять девчонка топать топать дорожка айяйять мальчишка сломать глазок айяйять мальчишка она глядеть опасно can you feel the smooth the groove the bbbbeats айяйять девчонка твой подружка айяйять девчонка мальчишка игрушка айяйять девчонка бежать знать айяйять девчонка ты успевать айяйять шептать ты родный айяйять имя знать айяйять откуда такой айяйять девчонка озорной айяйять шептать ты родный айяйять имя знать айяйять откуда такой айяйять такой деловой айяйять девчонка подождать один минутка айяйять девчонка влюбиться шутка айяйять девчонка делать я айяйять девчонка забрать себя айяйять шептать ты родный айяйять имя знать айяйять откуда такой айяйять девчонка озорной айяйять шептать ты родный айяйять имя знать айяйять откуда такой айяйять такой деловой ,15
leggo i dare you all of my life too late till you showed up with perfect timing now here we are you rock it our fingers are stuck in the socket its just the nature a game get ready well do it again lets not recover time to hangover when your eyes got me drunk i was sober is it true that you love me i dare you to kiss me with everyone watching its truth or dare on the dance dancedance on the dancefloor leggo leggo of all the millions on the planet youre the one whos keeping me on it you know i like you aint nobodys business your blue spanish eyes are my witness its just the nature a game get ready well do it again lets not recover time to hangover when your eyes got me drunk i was sober is it true that you love me i dare you to kiss me with everyone watching its truth or dare on the dancedance on the dance leggo ,16
капелька дождь упасть твой ладонь день повсюду ждать бродить я словно тень прятать глаз словно робость навек сковать сделать первый шаг быть смелый я послушать твой рука твой рука твой рука знать твой рука твой рука вечер окно плыть закрыть дверь я таять мы лёд верить губа глаз близкий стучать сердце слышать сделать первый шаг быть смелый послушать твой рука твой рука твой рука знать твой рука твой рука послушать твой рука твой рука твой рука знать твой рука твой рука послушать твой рука твой рука твой рука знать твой рука твой рука послушать твой рука твой рука твой рука знать твой рука твой рука послушать твой рука твой рука твой рука знать твой рука твой рука ,17
знать делать этот беда свет всё судьба неведомый пусть суждено знать делать этот беда она небесный запах цвет золотой сердце ночь бог молиться просить каждый один играть роль два сестра любовь боль жить необъяснимый ты небо плечо свобода хотеть оставлять любимый поначалу бояться думать пройти внезапно отказать сердце мой белый застелить полотно знать делать этот беда свет всё судьба неведомый пусть суждено играть роль два сестра любовь боль жить необъяснимый ты небо плечо свобода хотеть оставлять любимый играть роль два сестра любовь боль жить необъяснимый ты небо плечо свобода хотеть оставлять любимый оставлять оставлять оставлять ,18
найти любовь сильный вместе столько день лишь больнeть пусть душа слеза слеза глаз видеть даам умереть посмотреть глаз лгать сказать умереть знать никто любить любить умереть глаз сказать умереть хотеть умереть знать никто любить любить жить душа мой ночь длинный твердить сильный умереть посмотреть глаз лгать сказать умереть знать никто любить любить умереть глаз сказать умереть хотеть умереть знать никто любить любить умереть ,19
любить алёшка лешка вздыхать зря лешка твой мечта серёга позабыть лешка жизнь твой пустой наивный чистый наблюдать издалёка вы слеза река алёшка лешка вздыхать зря лешка твой мечта серёга позабыть позабыть позабыть висеть плакат дом стена помнить о подружка бояться рассказать алёшка хотеть потерять стоить рядом два шаг скрыть слеза глаз знать далёкий снова слеза река алёшка лешка вздыхать зря лешка твой мечта серёга позабыть алёшка лешка вздыхать зря лешка твой мечта серёга позабыть позабыть позабыть алёшка лешка вздыхать зря лешка твой мечта серёга позабыть позабыть ,20
странный говорить такой весь отвечать делать деньга верить бог любить мчаться автомобиль искать потерянный рай спор я время тратить даром такой весь отвечать строить дом писать икона хотеть килиманджаро знать потерянный рай килиманджаро жить чёрный богиня чёрный богиня плыть горный река потерянный рай килиманджаро белый лилия нежный рука спуститься мы миг светлый ангел надежда хотя миг небо потерять мало огонь мало любовь вера любовь маленький прежде дать отыскать потерянный рай килиманджаро жить чёрный богиня чёрный богиня плыть горный река потерянный рай килиманджаро белый лилия нежный рука килиманджаро жить чёрный богиня чёрный богиня плыть горный река потерянный рай килиманджаро белый лилия нежный рука ,21
быть ночь тосковать окно давно бояться оставаться один крупица любовь собирать хотеть ты вослед полечить быть сто год убиваться знахарка просить вернуть захотеть любовь клясться захотеть вернуться рука твой отозваться звать улететь дождаться позвать вернуться продолжать свой извилистый путь понять хотеть отдохнуть одиночество век искупать вина понять вернуться рука твой отозваться звать улететь дождаться позвать вернуться вернуться рука твой отозваться звать улететь дождаться позвать вернуться ,22
напрасно думать получить всё хотеть день ночь свой мечта летать облако ты звезда идти наш любовь вдвоём нести рука облако всё летать знать мечта лишь мало любовь лалал всё летать знать мечта лишь мало мало лалалал облако плыть растаять оставить один знать помнить ты наш хранить любовь небо луна ночь тёмный холодный думать грустить сам хотеть всё летать знать мечта лишь мало любовь лалал всё летать знать мечта лишь мало мало лалал всё летать знать всё летать лалалал всё летать знать всё летать лалалал всё летать знать мечта лишь мало любовь лалал всё летать знать мечта лишь мало любовь лалал всё летать знать мечта лишь мало мало лалал ,23
бредовый неверный бессонница когданибудь наверное ум сойти любить её тигровый пещерный убить её когданибудь наверное новый год воскресить её вместо слово мой любовь кричать боль тропикан женщина горячий бешеный внутри солёный словно кровь текила любовь тропикан женщина горячий бешеный внутри солёный словно кровь текила любовь река посреди она стоить якорь видеть берег лишь небо синий невыносимый четыре танец танцевать демон пятый танец облако зайти луна игра окончить вместо слово мой любовь кричать боль тропикан женщина горячий бешеный внутри солёный словно кровь текила любовь тропикан женщина горячий бешеный внутри солёный словно кровь текила любовь тропикан женщина горячий бешеный внутри солёный словно кровь текила любовь тропикан женщина горячий бешеный внутри солёный словно кровь текила любовь тропикан женщина горячий бешеный внутри солёный словно кровь текила любовь тропикан женщина горячий бешеный внутри солёный словно кровь текила любовь ,24
вести юг север дорога неведомый край меняться мир он река впадать океан 1 валерий меладзе виа гра послушать это долго бежать бежать слушать слушать слушать жадно спешить дышать деликатно небо смело гордо вытекать река невероневероневероятный круто путано непонятно один река белый день другой чёрный ночь волна третий пламя ожидать один вести юг север дорога неведомый край меняться мир он река впадать океан 2 валерий меладзе виа гра послушать это долго наблюдение моряк слушать слушать слушать жадно спешить дышать деликатно река рано поздно попадать океан невероневероневероятный круто путано непонятно один река белый день другой чёрный ночь волна третий пламя ожидать один вести юг север дорога неведомый край меняться мир он река впадать океан вести юг север дорога неведомый край меняться мир он река впадать океан ,25
написать письмо ты прочитать строка всё сон рассказать почему забыть твой глаз губа помнить любить мы скучно каждый вечер вместе ходить искать гулять ловить любить понимать слово всё рассказать один письмо пара фраза навряд всё исправить ответ туман закат рассвет побережье это давать уехать ключ сосед хэй лэдить цветок пусть поливать дарить свой ребёнок наверняка всё это возможно жизнь просто бывать бывать сложно письмо лететь её найти сказать ответ звезда подсказать найти ты звезда шепнуть дождь растаять земля написать письмо ты прочитать строка ответить почему вопрос всерьёз всё это просто дикий ветер унести никуда город жаль навсегда человек такой происходить земля бежать кричать хотеть искать опоздать звезда подсказать найти ты звезда шепнуть дождь растаять земля навстречу солнце закрыть глаз лететь птица взмахнуть крыло прижимать сердце твой слово всё казаться сон звезда подсказать небо мячик скакать бежать бежать найти ты звезда шепнуть улыбаться звезда плакать лететь лететь дождь растаять земля звезда подсказать тот её наверно услышать найти искать найти ты звезда шепнуть подняться выше быть рядом быть рядом ага дождь растаять земля ,26
мир который жить называться мечта хотеть себя взять хотеть поделиться ты подарить ты любовь научить смеяться позабыть печаль боль быть облако купаться подарить ты любовь научить смеяться позабыть печаль боль быть облако купаться смотреть разноцветный дождь петь вдохновенно ветер заметить радуга идти мир красивый светлый подарить ты любовь научить смеяться позабыть печаль боль быть облако купаться подарить ты любовь научить смеяться позабыть печаль боль быть облако купаться подарить ты любовь научить смеяться позабыть печаль боль быть облако купаться мир который жить называться мечта хотеть себя взять хотеть поделиться ты подарить ты любовь научить смеяться позабыть печаль боль быть облако купаться смотреть разноцветный дождь петь вдохновенно ветер смотреть разноцветный дождь петь вдохновенно ветер это мир красивый светлый ,27
быть я мальчик пушистый зайчик хрупкий деточка быть я быть я мастер быть я гангстер быть девочка быть я быть быть делать чтонибыть быть быть быть быть быть быть делать чтонибыть быть быть быть быть быть я праздник кнут пряник сам большой беда быть я это просто любить бросить понт любимый быть я быть я быть быть делать чтонибыть быть быть быть быть быть быть делать чтонибыть быть быть быть быть быть быть делать чтонибыть быть быть быть быть быть быть делать чтонибыть быть быть быть быть быть быть делать чтонибыть быть быть быть быть быть быть делать чтонибыть быть быть быть быть ,28
восточный сказка строить глазок манить дурманить звать пойти ты эй девушкакрасавица улыбаться любить всё хотеть подарить подарок дари жаркий слово говорить любовь клясться сначала жениться восточный сказка строить глазок манить дурманить звать пойти ты восточный сказка рассказать такой восточный любовь девушкакрасавица очень нравиться жена четвёртый быть уважаемый пять муж любить хотеть быть шестой восточный сказка строить глазок манить дурманить звать пойти ты восточный сказка рассказать такой восточный любовь такой восточный любовь такой восточный любовь восточный сказка строить глазок манить дурманить звать пойти ты восточный сказка рассказать такой восточный любовь восточный сказка строить глазок манить дурманить звать пойти ты восточный сказка рассказать такой восточный любовь такой восточный любовь такой восточный любовь ,29
im sitting alone here in my room staring at your picture from midnight till noon counting the hours counting the days you know that i miss you in a million ways now i wait in the cold and this is getting old no more stories no more lies take me off this ride when you see me in the hall i look at the wall by my actions you should know im going solo my friends tried to tell me i didnt want to listen cause im the kind of person gotta find out on my own i gave you my heart you tore it apart now im coming back strong i knew it was wrong now i wait in the cold and this is getting old no more stories no more lies take me off this ride when you see me in the hall i look at the wall by my actions you should know im going solo ,30
понять помнить перрон стоять агония вагон вернуться город это больно понять небо парить перелётный птица уходить возвратиться птица понять пошутить минутка уходить опоздать поезд это просто понять небо парить перелётный птица уходить возвратиться ,31
сотня вновь зима прийти трон любовь ледяной взойти замёрзлый нету сила любовь просить кружить тихо кружить тихо непогода кружить тихо наш последний снег решиться такой непогода решиться совершить побег поменять жизнь колесо судьба махнуть встречный полоса шоссе растаять лёд ты равно нести кружить тихо кружить тихо непогода кружить тихо наш последний снег решиться такой непогода решиться совершить побег сотня вновь зима прийти трон любовь ледяной взойти замёрзлый нету сила любовь просить кружить тихо кружить тихо непогода кружить тихо наш последний снег решиться такой непогода решиться совершить побег ,32
видеть твой улыбка помнить ошибка сердце важно ошибаться дважды пусть сегодня я поиграть любовь девочка свой назвать обнять обмануть маленький часики смеяться тиктак что жалеть любить просто девочка свой назвать обнять обмануть маленький часики смеяться тиктак что жалеть любить просто тиктак тиктак тиктак тиктак окно дождик плакать выпь неудача стать неважно ошибаться дважды пусть сегодня я поиграть любовь девочка свой назвать обнять обмануть маленький часики смеяться тиктак что жалеть любить просто девочка свой назвать обнять обмануть маленький часики смеяться тиктак что жалеть любить просто тиктак тиктак тиктак что жалеть тиктак тиктак тиктак тиктак тиктак тиктак любить просто тиктак тиктак тиктак девочка свой назвать обнять обмануть маленький часики смеяться тиктак что жалеть любить просто девочка свой назвать обнять обмануть маленький часики смеяться тиктак что жалеть любить просто ,33
помнить падать первый белый снег небо низкий хмурый самый близкий человек казаться лишь размытый фигура разойтись море корабль расходиться туман маяк маня любовь обижать обижать разойтись море корабль расходиться туман маяк маня любовь обижать обижать зелёный зелёный вода наш слеза солёный это четверг среда среда знать вечно обделить разойтись море корабль расходиться туман маяк маня любовь обижать обижать разойтись море корабль расходиться туман маяк маня любовь обижать обижать разойтись море корабль расходиться туман маяк маня любовь обижать обижать разойтись море корабль расходиться туман маяк маня любовь обижать обижать обижать обижать обижать обижать ,34
тёмный ночь скрыть простыня это запомниться музыка громкий глаз закрытый делать хотеть ночью открытие тёмный ночь скрыть простыня это нонстоп стать воздух утро слово твой первый быть ты сам примерный музыка громкий глаз закрытый это нонстоп ночью открытие делать хотеть забываться это нонстоп прекращаться музыка громкий глаз закрытый это нонстоп ночью открытие быть ты сам примерный утро окно быть первый жар разливаться губа приковать всё начинаться снова снова скорость земной забываться это нонстоп прекращаться это нонстоп прекращаться музыка громкий глаз закрытый скорость земной забываться делать хотеть ночью открытие музыка громкий глаз закрытый это нонстоп ночью открытие делать хотеть забываться это нонстоп прекращаться музыка громкий глаз закрытый это нонстоп ночью открытие быть ты сам примерный утро окно быть первый музыка громкий глаз закрытый это нонстоп делать хотеть забываться это нонстоп музыка громкий глаз закрытый это нонстоп ночью открытие делать хотеть забываться это нонстоп прекращаться музыка громкий глаз закрытый это нонстоп ночью открытие быть ты сам примерный утро окно быть первый быть первый быть первый ,35
грусть причина зеркало часто глядеться замирать вслед ты мужчина верить оглянуться вздыхать печаль глаз тая смешной девочка чтоть знать знать молодой доченька посмотрик свой ладонь ясно гадалка звать это ангел мы посторонний начертить линия любовь вздыхать печаль глаз тая смешной девочка чтоть знать знать молодой доченька ты уехать это лето город магнолия цвести раскрой свой секрет забыть вздыхать печаль глаз тая смешной девочка чтоть знать знать молодой доченька вздыхать печаль глаз тая смешной девочка чтоть знать знать молодой доченька молодой ещё пока доченька молодой ещё пока доченька ,36
задержка рейс рига москва шесть утро знать скоротать ночь тёмный небо время прилёт звёздный табло астроном разгадать точно огонёк созвездие дева мерцать вдалеке ригамосква сквозь облако огонёк созвездие овен звать ты ригамосква ждать балтийский берег скучать чайка быть ждать вернуться быть рядом ты тот чашка кофе твой остыть маленький кафе открытый полночь двина огонёк созвездие дева мерцать вдалеке ригамосква сквозь облако огонёк созвездие овен звать ты ригамосква ждать огонёк созвездие дева мерцать вдалеке ригамосква сквозь облако огонёк созвездие овен звать ты ригамосква ждать любимый ,37
отрываться земля биться пульс мой любовь сегодня данспол ощущение ловить неважно танец ночь вдвоём утро сжигать звезда забыть о весь это всё танцытанцытанец сводить музыка ум невыносимый губа твой касаться хотеть сам это всё танцытанцытанец отрываться земля лететь ловить губа воздух танец танец никуда отпустить мир танцующий вокруг огонь горячий рука продолжать движение просто пульс ловить трогать звук свет неоновый огонь просто двигаться быстрый ты стать близкий зажигать смелеть диджей это всё танцытанцытанец сводить музыка ум невыносимый губа твой касаться хотеть сам это всё танцытанцытанец отрываться земля лететь ловить губа воздух танец танец никуда отпустить танцытанцытанец отрываться земля лететь ловить губа воздух танец хотеть танцытанцытанец танцытанцытанец танцытанцытанец танцытанцытанец сводить музыка ум невыносимый губа твой касаться хотеть сам это всё танцытанцытанец отрываться земля лететь ловить губа воздух танец танец никуда отпустить танцытанец танцытанец ,38
помнить небо помнить сон молчание юный тело голубой одеяло помнить умирать прощание сердце застылый просто трудный возраст смять постель плакать дождь метель никто подумать слабый 16 год твой душа твой душа помнить небо помнить сон молчание юный тело голубой одеяло помнить умирать прощание сердце застылый мечтать мечтать знать это тело возраст навсегда писать ты письмо текст сырой ждать твой макsий помнить небо помнить сон молчание юный тело голубой одеяло помнить умирать прощание сердце застылый помнить небо помнить сон молчание юный тело голубой одеяло помнить умирать прощание сердце застылый мечтать мечтать ,39
мести мести весь земля всe предел свеча гореть стол свеча гореть лето рой мошкара лететь пламя слетаться хлопья двор оконный рама метель лепить стекло кружка стрела свеча гореть стол свеча гореть свеча гореть озарить потолок ложиться тень скрещение рука скрещение нога судьба скрещение падать башмачок стук пол воск слеза ночник платье капать платье капать теряться снежный мгла седой белый свеча гореть стол свеча гореть мести весь мeсяц февраль дело свеча гореть стол свеча гореть свеча гореть свеча гореть свеча гореть свеча гореть ,40
слеза это соль вода конвой время вести два любовь пройти гдеть сторона хотеть третий любовь lonely lonely lonely lonely lonely lonely lonely lonely lonely lonely lonely lonely lonely lonely lonely lonely i guess im lonely пусть всё решить монолог твой душа lonely lonely i guess im lonely венера земля ева любить твой пластинка слушать каждый находить lonely lonely остановить lonely lonely ева любить плакать плакать твой пластинка слушать танцевать танцевать каждый находить бежать остановить lonely lonely ах ева любить зеркало искать отражение зеркало искать отражение ещё ещё новый близкий встреча робкий шаг сделать чтонибыть бежать бежать lonely lonely i guess im lonely пусть всё решить монолог твой душа lonely lonely i guess im lonely венера земля ева любить плакать плакать твой пластинка слушать танцевать танцевать каждый находить бежать остановить танцевать танцевать ева любить плакать плакать твой пластинка слушать танцевать танцевать каждый находить бежать остановить lonely lonely ева любить кончиться наш день знать кончиться наш сон знать посмотреть вправо мешать слеза нервный мой палец гладить нежный мой губа любить глубина море манить губить мой глаз любить плакать плакать твой пластинка слушать танцевать танцевать каждый находить бежать остановить танцевать танцевать ева любить плакать плакать твой пластинка слушать танцевать танцевать каждый находить бежать остановить lonely lonely ах ева любить делать всё ,41
подарить ты подарить подарить сам рассказать друг сам большой чистый любовь земля тая тая тая губа снежинка тая твой рука стая стая стая наш птица бояться спугнуть движение ресница тая тая тая губа снежинка тая твой рука стая стая стая наш птица бояться спугнуть одарить себя одарить заколдовать имя твой узнать услышать быть вдвоём тая тая тая губа снежинка тая твой рука стая стая стая наш птица бояться спугнуть движение ресница тая тая тая губа снежинка тая твой рука стая стая стая наш птица бояться спугнуть просочиться год утечь вода просочиться сквозь палец твой смочь забыть песня сам большой любовь тая губа тая твой рука стая стая стая наш птица бояться спугнуть тая тая тая губа снежинка тая твой рука стая стая стая наш птица бояться спугнуть движение ресница тая тая тая губа снежинка тая твой рука стая стая стая наш птица бояться спугнуть тая тая тая губа снежинка тая твой рука стая стая стая наш птица бояться спугнуть движение ресница тая тая тая губа снежинка тая твой рука стая стая стая наш птица бояться спугнуть тая тая тая тая тая тая тая ,42
